Date,Description,Amount,Type,Balance,Check Number,Reference
2024-01-01,"Opening Balance",0.00,Credit,15000.00,,"INIT"
2024-01-02,"DEPOSIT - CLIENT PAYMENT ABC CORP",2500.00,Credit,17500.00,,"DEP001"
2024-01-02,"STARBUCKS #12345 SEATTLE WA",4.50,Debit,17495.50,,"POS001"
2024-01-03,"OFFICE DEPOT #678 DOWNTOWN",125.75,Debit,17369.75,,"POS002"
2024-01-03,"AMAZON WEB SERVICES",89.99,Debit,17279.76,,"AUTO001"
2024-01-04,"UTILITY BILL - ELECTRIC COMPANY",156.78,Debit,17122.98,,"UTIL001"
2024-01-04,"STARBUCKS #12345 SEATTLE WA",4.50,Debit,17118.48,,"POS003"
2024-01-05,"RENT PAYMENT - MONTHLY",1200.00,Debit,15918.48,,"RENT001"
2024-01-05,"BANK FEE - MONTHLY MAINTENANCE",15.00,Debit,15903.48,,"FEE001"
2024-01-06,"CLIENT PAYMENT - XYZ LLC",1800.00,Credit,17703.48,,"DEP002"
2024-01-06,"GAS STATION #456 MAIN ST",45.67,Debit,17657.81,,"POS004"
2024-01-07,"INSURANCE PAYMENT - BUSINESS",234.56,Debit,17423.25,,"INS001"
2024-01-07,"STARBUCKS #12345 SEATTLE WA",4.50,Debit,17418.75,,"POS005"
2024-01-08,"SOFTWARE SUBSCRIPTION - MICROSOFT",29.99,Debit,17388.76,,"AUTO002"
2024-01-08,"LUNCH MEETING - JOE'S RESTAURANT",67.89,Debit,17320.87,,"POS006"
2024-01-09,"CLIENT PAYMENT - DEF INC",3200.00,Credit,20520.87,,"DEP003"
2024-01-09,"OFFICE SUPPLIES - STAPLES",78.90,Debit,20441.97,,"POS007"
2024-01-10,"INTEREST EARNED",12.45,Credit,20454.42,,"INT001"
2024-01-10,"STARBUCKS #12345 SEATTLE WA",4.50,Debit,20449.92,,"POS008"
2024-01-11,"PAYROLL - EMPLOYEE JOHN DOE",850.00,Debit,19599.92,,"PAY001"
2024-01-11,"PHONE BILL - VERIZON",89.99,Debit,19509.93,,"UTIL002"
2024-01-12,"CLIENT PAYMENT - GHI ENTERPRISES",2750.00,Credit,22259.93,,"DEP004"
2024-01-12,"PARKING - DOWNTOWN GARAGE",12.00,Debit,22247.93,,"POS009"
2024-01-13,"MARKETING EXPENSE - GOOGLE ADS",450.00,Debit,21797.93,,"MKT001"
2024-01-13,"STARBUCKS #12345 SEATTLE WA",4.50,Debit,21793.43,,"POS010"
2024-01-14,"EQUIPMENT PURCHASE - DELL LAPTOP",1299.99,Debit,20493.44,,"EQUIP001"
2024-01-14,"SUPPLIER PAYMENT - WIDGET CO",567.89,Debit,19925.55,,"SUP001"
2024-01-15,"CLIENT PAYMENT - JKL ASSOCIATES",1900.00,Credit,21825.55,,"DEP005"
2024-01-15,"TRAVEL EXPENSE - HOTEL",234.56,Debit,21590.99,,"TRAVEL001"
2024-01-16,"BANK TRANSFER TO SAVINGS",1000.00,Debit,20590.99,,"XFER001"
2024-01-16,"STARBUCKS #12345 SEATTLE WA",4.50,Debit,20586.49,,"POS011"
2024-01-17,"LEGAL FEES - SMITH & ASSOCIATES",350.00,Debit,20236.49,,"LEGAL001"
2024-01-17,"SUBSCRIPTION - ADOBE CREATIVE",52.99,Debit,20183.50,,"AUTO003"
2024-01-18,"CLIENT PAYMENT - MNO CORPORATION",4100.00,Credit,24283.50,,"DEP006"
2024-01-18,"POSTAGE & SHIPPING",45.67,Debit,24237.83,,"ADMIN001"
