Date,Description,Amount,Type
2024-01-15,STARBUCKS #12345,4.50,Debit
2024-01-16,OFFICE DEPOT #678,125.75,Debit
2024-01-17,CLIENT PAYMENT - ABC CORP,2500.00,Credit
2024-01-18,UTILITY BILL - ELECTRIC,89.23,Debit
2024-01-19,STARBUCKS #12345,4.50,Debit
2024-01-20,RENT PAYMENT,1200.00,Debit
2024-01-21,BANK FEE,15.00,Debit
2024-01-22,CLIENT PAYMENT - XYZ LLC,1800.00,Credit
2024-01-23,GAS STATION #456,45.67,Debit
2024-01-24,INSURANCE PAYMENT,156.78,Debit
2024-01-25,STARBUCKS #12345,4.50,Debit
2024-01-26,SOFTWARE SUBSCRIPTION,29.99,Debit
2024-01-27,CLIENT PAYMENT - DEF INC,3200.00,Credit
2024-01-28,OFFICE SUPPLIES,78.90,Debit
2024-01-29,INTEREST EARNED,12.45,Credit
