date,description,amount
2024-01-15,Office Supplies Purchase,-45.67
2024-01-15,Client Payment - ABC Corp,1200.00
2024-01-16,Internet Bill - Comcast,-89.99
2024-01-16,Office Rent Payment,-800.00
2024-01-17,Coffee Shop Purchase,-12.50
2024-01-17,Freelancer Payment - John Doe,-350.00
2024-01-18,Client Payment - XYZ Ltd,850.00
2024-01-18,Bank Transfer Fee,-5.00
2024-01-19,Software Subscription - Adobe,-29.99
2024-01-19,Equipment Purchase - Dell Laptop,-1299.99
2024-01-20,Client Payment - DEF Inc,750.00
2024-01-20,Utility Bill - Electric,-125.45
2024-01-22,Parking Fee,-8.00
2024-01-22,Client Refund Processing,500.00
2024-01-23,Marketing Expenses - Google Ads,-200.00
2024-01-23,Income - Consulting Services,1500.00 
