Date,Description,Amount
2024-01-15,Office Supplies Purchase,125.50
2024-01-16,Client Payment - ABC Corp,2500.00
2024-01-17,Internet Service Fee,89.99
2024-01-18,Restaurant Lunch Meeting,45.75
2024-01-19,Software Subscription,199.00
2024-01-20,Gas Station Fuel,35.25
2024-01-21,Client Payment - XYZ Inc,1800.00
2024-01-22,Office Rent Payment,1200.00
2024-01-23,Phone Bill,65.50
2024-01-24,Marketing Materials,150.00
2024-01-25,Client Payment - DEF Ltd,3200.00
2024-01-26,Travel Expenses,275.80
2024-01-27,Equipment Purchase,450.00
2024-01-28,Client Payment - GHI Corp,1500.00
2024-01-29,Utilities Payment,185.30
2024-01-30,Office Cleaning Service,120.00 
